episode,total_reward,success,steps,options_used,epsilon
0,-44.3000,1,99,33,1.0000
1,46.1000,1,78,26,0.9950
2,40.1000,1,75,25,0.9900
3,-48.6000,1,105,35,0.9851
4,-3.1000,1,105,35,0.9801
5,-102.7000,1,108,36,0.9752
6,3.8000,1,78,26,0.9704
7,-7.6000,1,111,37,0.9655
8,-7.9000,1,81,27,0.9607
9,5.1000,1,87,29,0.9559
10,-48.8000,1,102,34,0.9511
11,65.4000,1,96,32,0.9464
12,-12.7000,1,126,42,0.9416
13,48.8000,1,93,31,0.9369
14,68.8000,1,60,20,0.9322
15,-33.7000,1,114,38,0.9276
16,51.1000,1,117,39,0.9229
17,-35.1000,1,129,43,0.9183
18,50.0000,1,87,29,0.9137
19,-44.0000,1,120,40,0.9092
20,8.4000,1,90,30,0.9046
21,15.1000,1,93,31,0.9001
22,32.0000,1,75,25,0.8956
23,32.4000,1,111,37,0.8911
24,-62.9000,1,105,35,0.8867
25,2.2000,1,87,29,0.8822
26,83.3000,1,51,17,0.8778
27,46.0000,1,105,35,0.8734
28,-53.1000,1,108,36,0.8691
29,-42.1000,1,99,33,0.8647
30,-8.1000,1,102,34,0.8604
31,-48.6000,1,105,35,0.8561
32,-65.7000,1,111,37,0.8518
33,13.7000,1,108,36,0.8475
34,40.3000,1,69,23,0.8433
35,48.0000,1,87,29,0.8391
36,-60.3000,1,120,40,0.8349
37,100.1000,1,81,27,0.8307
38,-18.7000,1,111,37,0.8266
39,25.8000,1,87,29,0.8224
40,66.6000,1,51,17,0.8183
41,-28.9000,1,123,41,0.8142
42,-2.0000,1,81,27,0.8102
43,-50.7000,1,132,44,0.8061
44,45.0000,1,81,27,0.8021
45,9.8000,1,114,38,0.7981
46,45.7000,1,90,30,0.7941
47,41.3000,1,63,21,0.7901
48,-72.0000,1,129,43,0.7862
49,-46.2000,1,117,39,0.7822
50,-3.4000,1,90,30,0.7783
51,70.9000,1,66,22,0.7744
52,-18.1000,1,93,31,0.7705
53,-109.1000,0,150,50,0.7667
54,54.9000,1,54,18,0.7629
